,Data_Split,FL,Non-IID,y_Dist,Epochs,Batches,Participant,ROC_AUC_Train,ROC_AUC_Test,ROC_AUC_OOS,LOGLOSS_Train,LOGLOSS_Test,LOGLOSS_OOS,PRAUC_Train,PRAUC_Test,PRAUC_OOS,BRIER_Train,BRIER_Test,BRIER_OOS
0,8-2-1,0,1,1.9% - 15% - 30%,-,-,1,0.738802144120057,0.7233611422651842,0.7224162143968382,0.09096116867194173,0.09554897498727746,0.32043383168902834,0.07922655959012949,0.058806410084021,0.2011412335398868,0.0182412215800722,0.019315915641314158,0.0748605450998738
1,8-2-1,0,1,1.9% - 15% - 30%,-,-,2,0.8038614574608333,0.7533157562630772,0.7524649649222674,0.36151320571255496,0.38019231946312404,0.26919940332896575,0.45679250236155255,0.3946171813118192,0.2290309690013447,0.10977523004383671,0.11569924758575549,0.07072989213107507
2,8-2-1,0,1,1.9% - 15% - 30%,-,-,3,0.7956669336446129,0.7625706835905041,0.754914496572883,0.5179079724685272,0.5439378132351623,0.3753279167808174,0.6285445339313998,0.5992463187722203,0.2280559344625994,0.1709708900350843,0.18222007613533195,0.10566714597464767
3,8-2-1,1,1,1.9% - 15% - 30%,-,-,1,0.758519744811435,0.7541557599298729,0.7550784770230382,0.18219399534066033,0.18384816443051724,0.272371177196324,0.07185399684033128,0.07004987610754498,0.23064167775099242,0.03426655589340342,0.03496870705161847,0.07124295219568678
4,8-2-1,1,1,1.9% - 15% - 30%,-,-,2,0.7782471295964017,0.7546588730508701,0.7550784770230382,0.37533333373898775,0.38547276835917194,0.272371177196324,0.41082697698516263,0.39436870813136476,0.23064167775099242,0.1140678241658226,0.11751325506906583,0.07124295219568678
5,8-2-1,1,1,1.9% - 15% - 30%,-,-,3,0.7802018143721966,0.7631422256518715,0.7550784770230382,0.5937543517517003,0.6251086806679509,0.272371177196324,0.6026323590887527,0.601220592375177,0.23064167775099242,0.20428095751994324,0.2162148539176704,0.07124295219568678
