Model,FL,Data_Contributors,LOGLOSS_train,LOGLOSS_test,ROCAUC_train,ROCAUC_test,PRAUC_train,PRAUC_test,BRIER_train,BRIER_test
Log. Regression,0,Label Holder,0.2510116046746703,0.2549094122814791,0.710678130664267,0.7091006780805433,0.1825031790035677,0.177100772992781,0.06774604673949772,0.06906901341313784
Log. Regression,0,All,0.23806149753292288,0.24320342938679482,0.7606666086121889,0.7559598400222496,0.23921229392583448,0.22776752764606395,0.06513515989298166,0.06671370958955933
Federated Log. Reg.,1,All,0.23763421635344897,0.24322153358703483,0.762230937854209,0.756845696501252,0.24411287228504686,0.23051530378546456,0.06495532406668865,0.06675885570171256
