Model,FL,Data_Contributors,LOGLOSS_train,LOGLOSS_test,ROCAUC_train,ROCAUC_test,PRAUC_train,PRAUC_test,BRIER_train,BRIER_test
Random Forest,0,Label Holder,0.2411458661825085,0.25667959656739114,0.8049028163279647,0.7122748262712161,0.2857032424994018,0.1843465855979799,0.06612666805305177,0.06935559180434762
Random Forest,0,All,0.23195587538344647,0.24821232520314568,0.8389159730392828,0.7572983910056994,0.3551313682151987,0.23566107657302882,0.064237579066595,0.06777947192912989
Federated Forest,1,All,0.23656963966045286,0.2537651863680447,0.8556758576704124,0.7469948916004369,0.38498622161951085,0.22415005199648957,0.0651876453791267,0.0688376704509619
